created_at,source,text,label
2020-12-27 06:49:32+00:00,Twitter for Android,By.U please kerja sama cuma bbrp jam doang please😭,unlabeled
2020-12-27 06:49:07+00:00,Twitter for Android,"Happy 1st Anniversary @byu_id 
Sering sering traktir kuotanya yaa 😘😂😂 https://t.co/7wNAQKpmuM",unlabeled
2020-12-27 06:48:44+00:00,Twitter for Android,beli kuota byu kapan ya,unlabeled
2020-12-27 06:41:22+00:00,Twitter for Android,Techi waktu itu msh 17 tahun loh. Dan dia udh mikir mgkn dunia lebih baik tanpa internet krn banyak kejadian bully.… https://t.co/IVPzsru9aC,unlabeled
2020-12-27 06:39:37+00:00,Twitter for Android,byu anjggggg ini lagi t7s dodol malah lemot,unlabeled
2020-12-27 06:36:10+00:00,Twitter for Android,nonton beyond klive yg ada darah tinggi gara gara byu lemot njing amit amit,unlabeled
2020-12-27 06:35:56+00:00,Twitter for Android,"indosat, kalo sinyalnya hari ini ga jelek, bulan depan aku ga jadi ganti by.u deh",unlabeled
2020-12-27 06:33:51+00:00,Twitter for Android,lg coba pake @byu_id by @Telkomsel semoga cucookk😙,unlabeled
2020-12-27 06:33:08+00:00,Twitter for Android,"Beli kartu by u telkomsel lewat link ini biar pake kode referral by u aku, trs nanti dapet bonus, enak kan https://t.co/8g0HtT8Caf",unlabeled
2020-12-27 06:27:17+00:00,Twitter for Android,nonton beyond live yg ada kesel anjing byu lemot banget tai,unlabeled
2020-12-27 06:24:59+00:00,Twitter for Android,Minta dimarahin ya? @byu_id,unlabeled
2020-12-27 06:13:06+00:00,Twitter for Android,By.U please sehari ini lancar aja buat bbrp jam aku mau liat NCT.,unlabeled
2020-12-27 06:13:04+00:00,Twitter for Android,Gila byu sinyalnya jelek bgt hahahaha 😭😭,unlabeled
2020-12-27 06:06:38+00:00,Twitter for Android,"Kuota udah mau abis, tiba2 dapat notif gini. Makasih Nindy @byu_id https://t.co/tem7Ly84QQ",unlabeled
2020-12-27 06:04:36+00:00,Twitter Web App,BY U TOLONGLAH AYOOOO JGN LEMOTTY,unlabeled
2020-12-27 05:58:15+00:00,Twitter for Android,Wahhh udah 1 tahun ajah kita @byu_id 😆 https://t.co/TA1xgZUQr7,unlabeled
2020-12-27 05:55:44+00:00,Twitter for Android,By.u anak siapa sih?😅,unlabeled
2020-12-27 05:45:37+00:00,Twitter for Android,Baik banget by.u ngasih kuota gratisan karena monthiversary huhuh maacih 🥺🥺🥺 @byu_id,unlabeled
2020-12-27 05:38:39+00:00,Twitter for Android,Sinyal byu meresahkan,unlabeled
2020-12-27 05:29:52+00:00,Twitter for iPhone,Beberapa relasi &amp; kolega di Jakarta udah pakai by.U mari kita coba! https://t.co/R5Mt6g50uy,unlabeled
2020-12-27 04:58:23+00:00,Twitter for Android,by.u lemot bgttt,unlabeled
2020-12-27 04:58:09+00:00,Twitter for Android,"Walaupun aku stres kalau kelamaan di kamar dan cenderung selalu ingin kelayapan, aku coba untuk bersemedi di kos ak… https://t.co/WEBBmQiCUE",unlabeled
2020-12-27 04:55:08+00:00,Twitter for iPhone,gw mo beli kuota jg di sini by . u sinyalnya jele yowes pasrah aj dah semoga wifi kosan ga ngehe,unlabeled
2020-12-27 04:42:30+00:00,Twitter for iPhone,"not gonna say this but im disgusting by u. pretending like ""dont use link haram or nonton dari yg live beyond ga me… https://t.co/bJVhUV88R2",unlabeled
2020-12-27 04:40:36+00:00,Twitter for iPad,Byu kalau mati lampu sinyalnya ilang 😢,unlabeled
2020-12-27 04:35:51+00:00,Twitter for Android,Ahh kesel banget akhir akhir ini by.u suka jelek jaringannya jd gabisa nonton livenya mereka 😠,unlabeled
2020-12-27 04:34:31+00:00,Twitter for iPhone,Yang mana sembah pertahankan #puriz tu mana muncul la...aku Saja malas nk buka aib die...Konon ckp Nnt aib aku org… https://t.co/2ryCKMnlsm,unlabeled
2020-12-27 04:22:14+00:00,Twitter for Android,asli by u jelek bgt sinyalnya,unlabeled
2020-12-27 04:21:18+00:00,Twitter for Android,by.u knp sih lemotnya naudzubillah,unlabeled
2020-12-27 04:19:06+00:00,Twitter for Android,"Halo teman-teman, bantu temenku lulus yuk? Untuk kriteria pengguna by.U selama 3 bulan terus menerus dan domisili j… https://t.co/FCE97xOVUf",unlabeled
2020-12-27 04:09:16+00:00,Twitter for Android,Byu sinyal nya sampah,unlabeled
2020-12-27 03:48:00+00:00,Twitter for iPhone,lemot banget si by.u ya Allah,unlabeled
2020-12-27 03:15:56+00:00,Twitter for Android,Mau rayain anniversary dimana nih @byu_id https://t.co/lBfqLYaRMo,unlabeled
2020-12-27 03:04:28+00:00,Twitter for Android,"kemarin kan aku beli kartu by.u trs ada pilihan 1mbps sama 2 danbl brp lg gt. pokoknya aku beli yg 10k,itu mksdnya gmn sii?",unlabeled
2020-12-27 02:56:42+00:00,Twitter for iPhone,Gua pake by u tp paket miskin alias 5gb 15rb....,unlabeled
2020-12-27 02:51:07+00:00,Twitter for Android,Gaes mau nanya ada yang pke kartu by.u??? Itu nyampe ke rumah nya berapa hari ya???,unlabeled
2020-12-27 02:47:31+00:00,Twitter for Android,"Gak 4G gak 3G, by.U Telkomsel aduhai sekali.... https://t.co/oET5KefsyW",unlabeled
2020-12-27 02:40:36+00:00,Twitter for Android,"Disni adda yg pake provider by.U ngga?? 
Minta review dong 😳😳
Baguss ngga??",unlabeled
2020-12-27 02:20:00+00:00,Twitter for Android,"Min @byu_id , paket yg 2,5mbps unlimited 140k ga dibalikin lagi kah? 🥲",unlabeled
2020-12-27 02:19:49+00:00,Twitter for iPhone,hallo min @byu_id saya pakai kuota yang 10gb/hari kok gabisa buat download ya?,unlabeled
2020-12-27 00:19:09+00:00,Twitter for iPhone,"Baru ngecek sisa kuota tsel gue yang ternyata masih sisa 10 giga tapi 2 hari lagi berakhir 🙈🙈🙈🙈

Oke 2 hari ke depa… https://t.co/zmS9Ug27bT",unlabeled
2020-12-27 00:17:01+00:00,Twitter for Android,byU dari kemaren ngisi paket gagal mulu kenapa dah,unlabeled
2020-12-27 00:11:31+00:00,Twitter for iPhone,gw mau ngeluh soal kartu by.u lagi tapi udah keseringan,unlabeled
2020-12-26 23:27:34+00:00,Twitter for Android,Yuhuuu ga kerasa pake @byu_id  udah 9 bulan dan dapet kado juga serasa kaya emak yang lahiran suka dapet kado kalau… https://t.co/ejoJ6vrbEL,unlabeled
2020-12-26 23:19:27+00:00,Twitter for Android,"Dadah @byu_id, jaringan leluhurmu masih jauh lebih baik.",unlabeled
2020-12-26 22:48:35+00:00,Twitter for Android,"Kuota by.u abis. Mau beli tapi kok paketnya kebanyakan semua, buat apa aku 50gb, aku cuma butuh 1gb biar nih hp nyala",unlabeled
2020-12-26 20:58:33+00:00,Twitter for Android,"butuh simcard baru
terus keinget by u
akhirnya beli kan ya
eh lupa nik udah kepake buat 3 simcard lain 😭",unlabeled
2020-12-26 20:32:02+00:00,Twitter for Android,tidak berlaku untuk by.u https://t.co/92j7X7ogPD,unlabeled
2020-12-26 18:28:30+00:00,Twitter for iPhone,"Byu seharian dijalan denger yt cuma kepake 3gb, coba pake simpati nih 12gb sebulan udah abis cuma buat brp jam utub… https://t.co/pge5UQtqHp",unlabeled
2020-12-26 18:19:57+00:00,Twitter for Android,By.u makin malem bukannya makin bagus malah makin ancur jaringan,unlabeled
2020-12-26 16:36:02+00:00,Twitter for iPhone,gabisa ngapa2in gw dirumah sinyal @by.u jelek parah,unlabeled
2020-12-26 16:32:49+00:00,Twitter for iPhone,SERU GOKIL GAUL @byu_id,unlabeled
2020-12-26 16:30:05+00:00,Twitter for iPhone,ini di gue doang apa kalian juga sih sinyal tsel (termasuk byu) mulai lemot dari abis maghrib,unlabeled
2020-12-26 16:05:18+00:00,Twitter for Android,Hoshi pake by u elah. Norak deh https://t.co/kNYLfb25uT,unlabeled
2020-12-26 15:44:24+00:00,Twitter for iPhone,Halo @byu_id ini kenapa gabisa ya dari siang tadi:( pulsa udah mencukupi bgt padahal tolonggg https://t.co/HG8PWRdYMf,unlabeled
2020-12-26 15:18:00+00:00,Twitter for Android,sumpah jatuh cinta bgt sm ui/ux nya @byu_id 😍😍 help ini sm designer nyaaa😭😭😭 https://t.co/RiKURe795r,unlabeled
2020-12-26 15:03:39+00:00,Twitter for Android,"Halo mas @byu_id tolong cek dm ya, urgent.",unlabeled
2020-12-26 14:56:09+00:00,Twitter for Android,tuhkan aku pake by.U cepat kali nah,unlabeled
2020-12-26 14:39:59+00:00,Twitter for iPhone,Ih by.U baik bgt.. https://t.co/QvNMbU3lPd,unlabeled
2020-12-26 14:24:29+00:00,Twitter Web App,"lagi males isi paket karna 2x longweekend dan dirumah wifi
tetiba...
ada yg 3 bulanan wkwk thankyou Nindy, @byu_id… https://t.co/SROsGlU2BQ",unlabeled
2020-12-26 14:08:21+00:00,Twitter for Android,ini kenapa sinyal By.U jadi jelek bangeeettttt,unlabeled
2020-12-26 14:03:07+00:00,Twitter for Android,"Tolong jelaskan @byu_id, kenapa @triindonesia lebih bagus dan stabil saat main Mobil lejen",unlabeled
2020-12-26 13:54:56+00:00,Twitter for Android,By u sama telkomsel sinyalnya bagus mana dah???,unlabeled
2020-12-26 13:29:11+00:00,Twitter for Android,kenapa sinyal H+ 3 ku lbh bagus dari 4G by.u??????? 😭,unlabeled
2020-12-26 13:24:36+00:00,Twitter for Android,"By.u gerimis dikit, langsung aleman. Halah 🙄",unlabeled
2020-12-26 13:22:45+00:00,Twitter for Android,kamu kenapa?! 😤 @byu_id https://t.co/rOtG73uEL3,unlabeled
2020-12-26 13:03:50+00:00,Twitter for Android,"kelebihan @byu_id 
1.paketan murah
2. buat sosmed musik yutub googling lancar jaya aman sentosa

kekurangan @byu_id… https://t.co/drd3YIAyyk",unlabeled
2020-12-26 12:58:11+00:00,Twitter for Android,"Gak sukanya pakai linkaja tuh cashbacknya ada masa berlakunya, Untungnya by.u bisa beli kuota pakai saldo bonusnya linkaja.",unlabeled
2020-12-26 12:48:35+00:00,Twitter for iPhone,By.u bapuk banget buat ngegame :(,unlabeled
2020-12-26 12:40:14+00:00,Twitter for Android,"min. . min @byu_id 
ini anjlok dr biasanya loh. https://t.co/YPEbqHG75k",unlabeled
2020-12-26 12:29:51+00:00,Twitter for Android,ini bisa dijadiin duit lg ga sih? 😭🤧 @byu_id https://t.co/lbjvoUCgbw,unlabeled
2020-12-26 12:29:36+00:00,Twitter for Android,ya Allah semoga jam 8 malam tidak ada gangguang dan sinyal by.U bersahabat,unlabeled
2020-12-26 12:28:13+00:00,Twitter for Android,Ada yg pernah pake by.U gak si? Itu gimana sistem paketnya napa ada yg pake GB ada yg mbps. Pilih mana neh?,unlabeled
2020-12-26 12:24:14+00:00,Twitter for Android,By.U kalo paketan abis ga ada yang ngasih kabar,unlabeled
2020-12-26 12:04:12+00:00,Twitter Web App,"by.U tiap malem minggu lag wae, mengganggu streaming bola. Ngehe",unlabeled
2020-12-26 12:01:47+00:00,Twitter for Android,Apa sih lemot bgt by u,unlabeled
2020-12-26 11:58:55+00:00,Twitter for Android,Astaghfirullaah @byu_id sinyalnya kayak jancok,unlabeled
2020-12-26 11:51:36+00:00,Twitter for iPhone,by u yg unli cepet ga si ini w make tsel 50gb cepet abis pdhl blm 30 hari,unlabeled
2020-12-26 11:49:41+00:00,Twitter for iPhone,Coba diitung berapa kali by.U bikin ngamuk hari ini,unlabeled
2020-12-26 11:42:29+00:00,Twitter for Android,Pulsa by*u beneran gabisa diconvert apah:((,unlabeled
2020-12-26 11:39:17+00:00,Twitter for Android,"Wow, akhirnya ada provider internet yang bebasin kamu bikin paket internet semuanya semaunya. Pesen SIM card-nya di… https://t.co/tdVVKNDtu6",unlabeled
2020-12-26 11:37:13+00:00,Twitter for iPhone,"PROMO KARTU PERDANA BY.U!!

10rb dapat 7GB (tanpa dibagi kuota malam / kuota aplikasi) 😱

Info lengkap langsung cek… https://t.co/jGUiu5UrlU",unlabeled
2020-12-26 11:36:24+00:00,Twitter for Android,"Ya allah by.U 100k 50gb, duit cuma gocap. Kalo beli yg 50k dapet 15gb doang. Sedih banget. // https://t.co/KI9rFtQmyU",unlabeled
2020-12-26 11:20:39+00:00,Twitter for Android,"TSEL KNPSI YA ALLAH. Sim card lagi satu pake by.u jg tsel khan, jele jg huft kenawhy😭",unlabeled
2020-12-26 11:17:01+00:00,Twitter for Android,"Makasih @byu_id 
Sayang banget sama aku https://t.co/AdzkJhT14X",unlabeled
2020-12-26 11:12:36+00:00,Twitter for Android,Byu amjinkk g bisa liat eod,unlabeled
2020-12-26 10:53:06+00:00,Twitter for Android,Byu kl drmh tante ak jaringanny jlk masa,unlabeled
2020-12-26 10:51:41+00:00,Twitter Web App,By.U sinyalnya jelek. Butut. Elek. Ra umum. Jingan.,unlabeled
2020-12-26 10:22:50+00:00,Twitter for Android,"Asli byu knp dah 😭😭 buka tl twitter berasa kaga punya kuota, kotak kotak warna warni doang 😭",unlabeled
2020-12-26 10:10:31+00:00,Twitter for Android,"Byu lagi knp sih, jelek amat jaringannya -_-",unlabeled
2020-12-26 09:58:57+00:00,Twitter for Android,.@byu_id hai byu saya mau tnya. saat saya mau isi pulsa kenapa harus beli nomer ya. padahal setiap bulan saya isi p… https://t.co/bnCfWfFGPM,unlabeled
2020-12-26 09:52:03+00:00,Twitter for Android,"sumpah by.u kamu lancar banget, tumben",unlabeled
2020-12-26 09:49:45+00:00,Twitter for Android,giliran pake by.u lancar njim 😭 https://t.co/gOfNMQwTsZ,unlabeled
2020-12-26 09:36:08+00:00,Twitter for Android,Et dah ini kaga ada yang respon admin @byu_id .Ini ngga bisa login. Masa aktifnya abis nih ntar malem. Mana belinya… https://t.co/9BZPiijv7Q,unlabeled
2020-12-26 09:22:37+00:00,Twitter for Android,byu buset lemot bgt pdhl ini udh paket yg 2mbps anjir,unlabeled
2020-12-26 09:08:25+00:00,Twitter for Android,Yey dah anniv 1th aja nih sama @byu_id 😚💖 btw thankyouu bonusnya 🤗 https://t.co/wm1BUQy1cI,unlabeled
2020-12-26 08:59:15+00:00,Twitter for iPhone,Kalo pengen daftar kartu by.U boleh request no hp nya gak sih? 👀,unlabeled
2020-12-26 08:57:09+00:00,Twitter for Android,"Wow, aku udah jadi Certified Anak by.U! Nih ku kasih tambahan 2GB kalo join by.U pake link ini… https://t.co/tLbQgF7FuR",unlabeled
2020-12-26 08:28:15+00:00,Twitter for Android,Ngisi pulsa by.u bisa di dana ga sih?,unlabeled
2020-12-26 08:04:46+00:00,Twitter for Android,ih by.u ngabisa dipake beyond live :) masi bagus indih0me anjiiir wkwke,unlabeled
2020-12-26 07:57:21+00:00,Twitter for Android,Kaget dongg dapat bonus kuota dari @byu_id terbaik emangg😭😭 https://t.co/b4ieASg2fH,unlabeled
2020-12-26 07:37:31+00:00,Twitter for Android,Apaan deh ini mpwr masa h+ doang😑 dahlah balik ke byu aja lah w,unlabeled
2020-12-26 07:26:59+00:00,Twitter for Android,ada yg make by.u gakkkkk?,unlabeled
2020-12-26 07:18:37+00:00,Twitter for Android,Pengen coba pake by.u tp blm ngerti. Ada yg bisa bantu jelasin?,unlabeled
2020-12-26 07:07:47+00:00,Twitter for iPhone,By.u baik bgt si ngasi kuota gratisan mulu😢 https://t.co/qo0xAS6tSc,unlabeled
2020-12-26 07:03:46+00:00,Twitter for Android,hahaha tau aja dah by.u gue keabisan kuota hikszrot https://t.co/TAV6CPrZl6,unlabeled
2020-12-26 07:02:06+00:00,Twitter for Android,byu kenapa jadi anjing bgt sinyalnya,unlabeled
2020-12-26 06:52:53+00:00,Twitter for iPhone,Halo ini yg bermasalah @SpotifyID atau @byu_id nya ya:(( help https://t.co/UIOqMIYoHe,unlabeled
2020-12-26 06:36:47+00:00,Twitter for Android,Kartu by.u enak ga sih buat di daerah bekasi?,unlabeled
2020-12-26 06:34:52+00:00,Twitter Web App,terima kasih untuk hadiah 1st anniversary nya @byu_id 😌 paket cuan akhir tahun + bonus anniv bikin makin betah ngas… https://t.co/XFxiDYzQlQ,unlabeled
2020-12-26 06:28:06+00:00,Twitter for Android,kayaknya byu belom cover semua daerah ya,unlabeled
2020-12-26 06:09:30+00:00,Twitter for Android,hanciik suwine donlot e iki by u lapooseeeee,unlabeled
2020-12-26 05:58:46+00:00,Twitter for Android,Apa gue harus beli nomer baru yang by.u?🤔 NOMER BY.U GUE YANG SEKARANG SUSAH MASUK AKUNNYA😭😭🤲 LOADING MULU BGST.… https://t.co/h0fO3OTLkJ,unlabeled
2020-12-26 05:49:08+00:00,Twitter for Android,"Kok by.u susah buat masuk akunnya. 

Mana loadingnya lama. Kalo mau masuk make nomer harus make data by.u masalahny… https://t.co/8Ab48DUF69",unlabeled
2020-12-26 05:47:24+00:00,Twitter for Android,Cara mengubah kuota belajar by.u menjadi kuota internet,unlabeled
2020-12-26 05:43:58+00:00,Twitter for Android,paansi sinyal by.u ampas bgt,unlabeled
2020-12-26 05:34:48+00:00,Twitter for iPhone,Mau beli kartu by.u lagi. Tapi kalo satu ktp buat 2 provider bisa gak ya?,unlabeled
