source,text,label
Twitter for Android,happy 1st anniversary sering sering traktir kuota,positif
Twitter for Android,beli kuota kapan,positif
Twitter for Android,techi waktu masih 17 tahun loh dia pikir mungkin dunia lebih baik internet banyak jadi bully,positif
Twitter for Android,indosat sinyal hari enggak jelek bulan depan enggak jadi ganti deh,positif
Twitter for Android,beli kartu by telkomsel lewat link biar pakai kode referral by aku terus dapat bonus enak kan,positif
Twitter for Android,kuota mau habis tiba notifikasi begini terimakasih nindy,positif
Twitter for Android,wah 1 tahun kita,positif
Twitter for Android,anak siapa,positif
Twitter for Android,baik asih kuota gratis monthiversary huhuh terimakasih byu,positif
Twitter for iPhone,beberapa relasi amp kolega jakarta pakai mari coba,positif
Twitter for iPhone,mau beli kuota di sini by sinyal jelek yowes pasrah deh moga wifi kosan ngehe,positif
Twitter for Android,halo temanteman bantu teman lulus yuk kriteria guna lama 3 bulan terus terus domisili,positif
Twitter for Android,mau raya anniversary nih,positif
Twitter for Android,kemarin kan beli kartu terus pilih 1mbps sama 2 danbl berapa begitu pokok beli 10kitu maksud bagaimana,positif
Twitter for iPhone,pakai by tapi paket miskin alias 5gb 15 ribu,positif
Twitter for Android,guys mau tanya yang pakai kartu itu ke rumah nya berapa hari,positif
Twitter for Android,sini adda pakai provider minta ulas dong bagus enggak,positif
Twitter for iPhone,halo admin saya pakai kuota 10gb per hari kok bisa unduh,positif
Twitter for iPhone,baru ecek sisa kuota telkomsel yang nyata sisa 10 giga 2 hari akhir oke 2 hari depa,positif
Twitter for iPhone,mau keluh soal kartu lagi sudah sering,positif
Twitter for Android,yuhu asa pakai sudah 9 bulan kado seperti kayak ibu lahir suka dapat kado,positif
Twitter for Android,dadah jaring leluhur jauh lebih baik,positif
Twitter for Android,kuota habis mau beli kok paket banyak semua apa 50gb cuma butuh 1gb biar ponsel nyala,positif
Twitter for Android,butuh sim card baru terus ingat by akhir beli kan eh lupa nik pakai 3 sim card,positif
Twitter for iPhone,seru gila gaul,positif
Twitter for Android,sumpah jatuh cinta sama uiux nya tolong sama designer nya,positif
Twitter for Android,halo mas tolong cek dm penting,positif
Twitter Web App,malas isi paket 2 kali akhir pekan panjang di rumah wifi tetiba yang 3 bulan haha terimakasih nindy,positif
Twitter for Android,lebih 1paketan murah 2 sosial media musik youtube googling lancar jaya aman sentosa kurang,positif
Twitter for Android,pernah pakai enggak itu bagaimana sistem paket yang pakai gb ada yang mbps pilih mana,positif
Twitter for Android,kalau paket habis ada asih kabar,positif
Twitter for iPhone,by yang unlimited cepat sih aku pakai telkomsel 50gb cepat habis padahal 30 hari,positif
Twitter for iPhone,coba hitung berapa kali bikin amuk hari,positif
Twitter for Android,pulsa benar bisa ubah apa,positif
